"total_participants","total_observations","mean","sd","median","min","max","conditon","metric"
19,311,2.78304940098765,4.82246843872569,1.53560914601068,0,21.8700576490923,"online","switch-velocity"
19,311,9.79222421475813,13.4171829420958,6.17587700098486,0,57.6677120062745,"online","session-length"
19,311,140.907506947269,101.397343497968,133.495,0,346.827381119792,"online","usage"
21,277,1.81914547183187,1.62294212610307,1.43106436771707,0,6.25381434633605,"blended","switch-velocity"
21,277,4.31571354857035,6.18042050148541,2.38777637710294,0,25.9986150325576,"blended","session-length"
21,277,78.7761345151969,72.3575805825601,58.4268455555556,0,277.511653333333,"blended","usage"
84,1878,1.49709762004705,1.30993785952047,1.09243967642506,0,8.12858175724515,"f2f","switch-velocity"
84,1878,2.64523276541775,2.53602445003933,1.88621511300531,0,13.2537136165287,"f2f","session-length"
84,1878,70.1351556728493,50.4784085015784,60.1806813669302,0,227,"f2f","usage"
130,2466,2.34882774700105,2.900510939954,1.77180609815183,0,26.4872200327278,"non-school","switch-velocity"
130,2466,5.26587529072496,6.56135688526652,3.24084338747017,0,55.7550379464092,"non-school","session-length"
130,2466,95.9477232469834,61.8160596735407,92.3603537124542,0,334.688763565892,"non-school","usage"
